Description,country,commodity,fac_name,latitude,longitude,capacity,Ticker
Sanmenxia Tianyuan Aluminum Co. Ltd.,China,Aluminum,Plant at Sanmenxia,34.77,111.18,110,#N/A
New Oriental Aluminum Co.,China,Aluminum,Plant at Taiyuan,37.78,112.48,75,EDU
Zhengzhou Aluminum Plant,China,Aluminum,Plant at Zhengzhou,34.77,113.6,60,#N/A
Shanxi Provincial Government,China,Coal,Mine in Shanxi,37,112,400000,#N/A
Shenhua Coal Corp.,China,Coal,Mine in Nei Mongol,44,112,150000,#N/A
Shenhua Coal Corp.,China,Coal,Mine in Ningxia,37,106,150000,#N/A
Shenhua Coal Corp.,China,Coal,Mine in Shaanxi,36,109,150000,#N/A
Heilongjiang Provincial Government,China,Coal,Mine in Heilongjiang,48,128,100000,#N/A
Henan Provincial Government,China,Coal,Mine in Henan,34,114,100000,#N/A
Nei Mongol Provincial Government,China,Coal,Mine in Nei Mongol,44,112,90000,#N/A
Sichuan Provincial Government,China,Coal,Mine in Sichuan,30.5,102.5,80000,#N/A
Hebei Provincial Government,China,Coal,Mine in Hebei,39.01,115.99,70000,#N/A
Liaoning Provincial Government,China,Coal,Mine in Liaoning,40.99,122.96,70000,#N/A
Shandong Provincial Government,China,Coal,Mine in Shandong,35.98,118.95,60000,#N/A
Jinchuan Nonferrous Metals Corp.,China,Cobalt,Plant at Jinchang,38.51,102.21,1200,#N/A
Guixi Smelter,China,Copper: refined,Plant at Guixi,28.31,117.22,700,#N/A
Jinchang Smelter,China,Copper: refined,Plant at Tongling,38.51,102.21,400,#N/A
Shandong Yanggu Xiangguang Co. Ltd.,China,Copper: refined,Plant at Yanggu,36.11,115.78,400,#N/A
Yunnan Smelter,China,Copper: refined,Plant at Kunming,25.04,102.72,250,#N/A
Daye Nonferrous Metals Co.,China,Copper: refined,Plant at Daye,30.13,114.97,200,#N/A
Dongying Fangyuan Nonferrous Metals Co. Ltd.,China,Copper: refined,Plant at Dongying,37.46,118.49,200,#N/A
Jinchuan Nonferrous Metals Corp.,China,Copper: refined,Plant at Jinchuan,38.51,102.21,200,#N/A
Tianjin Datong Copper Co. Ltd. (former Tianjin Copper Electrolysis Factory),China,Copper: refined,Plant in Tianjin,39.14,117.18,200,#N/A
Yantai Penghui Copper Industry Co. Ltd.,China,Copper: refined,Plant at Yantai,37.53,121.4,200,#N/A
Zhangjiagang United Copper Co.,China,Copper: refined,Plant at Zhangjiagang,31.87,120.54,200,#N/A
Jinchang Smelter,China,Copper: refined,Plant at Tongling,30.95,117.78,170,#N/A
Chifeng Jingeng Copper Co. Ltd.,China,Copper: refined,Plant at Chifeng,42.2,118.89,100,#N/A
Dongfang Copper Co.,China,Copper: refined,Plant at Huludao,40.73,120.87,100,#N/A
Shandong Jinsheng Nonferrous Metals Corp.,China,Copper: refined,Plant at Linyi,37.19,116.87,100,#N/A
Zhongtiaoshan Nonferrous Metals Co.,China,Copper: refined,Plant at Yuangu,35.3,111.66,100,#N/A
Wuhu Smelter,China,Copper: refined,Plant at Wuhu,31.34,118.4,60,#N/A
Baiyin Nonferrous Metals Co.,China,Copper: refined,Plant at Baiyin,36.55,104.21,50,#N/A
Luoyang Copper Processing Factory,China,Copper: refined,Plant at Luoyang,34.68,112.39,50,#N/A
Taiyuan Copper Industry Co.,China,Copper: refined,Plant at Taiyuan,37.9,112.58,30,#N/A
Qinghai Yanhu Industry Group Co. Ltd.,China,Lithium,Plant at Golmud,36.39,94.89,10,#N/A
Xinjiang Lithium Co.,China,Lithium,Plant at Urumqi,43.8,87.58,5,#N/A
Sichuan Shehong Lithium Co. Ltd.,China,Lithium,Plant at Shehong,30.87,105.39,2,#N/A
Jinchuan Nonferrous Metals Corp.,China,Nickel: refined,Plant at Jinchuan,38.5,102.17,100,#N/A
Xinjiang Fukang Smelter,China,Nickel: refined,Plant at Fukang,44.17,87.98,15,#N/A
Jilin Jien Nickel Industry Co. Ltd.,China,Nickel: refined,Plant at Panshi,42.94,126.06,10,#N/A
Chengdu Electro-Metallurgy Factory,China,Nickel: refined,Plant at Chengdu,30.67,104.07,5,#N/A
Yuanjiang Nickel Industry Co. Ltd.,China,Nickel: refined,Plant at Yuxi,24.36,102.54,5,#N/A
Bharat Aluminum Co. Ltd.,India,Aluminum,Korba Smelter,22.39,82.73,350,#N/A
National Aluminum Co. Ltd.,India,Aluminum,Angul Smelter,20.83,85.16,345,NATIONALUM
Hindalco Industries Ltd.,India,Aluminum,Renukoot Smelter,24.22,83.03,275,#N/A
Hindalco Industries Ltd.,India,Aluminum,Hirakud Smelter,21.53,83.91,100,#N/A
Indian Aluminum Co. Ltd.,India,Aluminum,Belgaum Smelter,15.91,74.54,70,#N/A
Madras Aluminum Co. Ltd.,India,Aluminum,Mettur Smelter,11.77,77.81,40,#N/A
Indian Aluminum Co. Ltd.,India,Aluminum,Alupuram Smelter,10.08,76.33,20,#N/A
North Eastern Coalfields Ltd. (a subsidiary of Coal India Ltd.),India,Coal: bituminous,Mines in Assam,26,93,640,#N/A
South Eastern Coalfields Ltd. (a subsidiary of Coal India Ltd.),India,Coal: bituminous,Mines in Madhya Pradesh,23.5,78.5,36,#N/A
Central Coalfields Ltd. (a subsidiary of Coal India Ltd.),India,Coal: bituminous,Mines in Bihar,25.75,85.75,27,#N/A
Bharat Coking Coal Ltd. (a subsidiary of Coal India Ltd.),India,Coal: bituminous,Mines in Bihar,25.75,85.75,26,#N/A
Bharat Coking Coal Ltd. (a subsidiary of Coal India Ltd.),India,Coal: bituminous,Mines in West Bengal,24,85,26,#N/A
Northern Coalfields Ltd. (a subsidiary of Coal India Ltd.),India,Coal: bituminous,Mines in Madhya Pradesh,23.5,78.5,24,#N/A
Northern Coalfields Ltd. (a subsidiary of Coal India Ltd.),India,Coal: bituminous,Mines in Uttar Pradesh,27.25,80.75,24,#N/A
Eastern Coalfields Ltd. (a subsidiary of Coal India Ltd.),India,Coal: bituminous,Mines in Bihar,25.75,85.75,21,#N/A
Mahanadi Coalfields Ltd. (a subsidiary of Coal India Ltd.),India,Coal: bituminous,Mines in Orissa,21,84,21,#N/A
Eastern Coalfields Ltd. (a subsidiary of Coal India Ltd.),India,Coal: bituminous,Mines in West Bengal,24,85,21,#N/A
Singareni Collieries Co. Ltd.,India,Coal: bituminous,Mines in Andhra Pradesh,16,79,18,#N/A
Western Coalfields Ltd. (a subsidiary of Coal India Ltd.),India,Coal: bituminous,Mines in Madhya Pradesh,23.5,78.5,18,#N/A
Western Coalfields Ltd. (a subsidiary of Coal India Ltd.),India,Coal: bituminous,Mines in Maharashtra,19.5,75,18,#N/A
Neyveli Lignite Corp. Ltd.,India,Coal: lignite,Mines in Tamil Nadu,11,78.5,17,#N/A
Hindustan Copper Co. Ltd.,India,Copper,Indian Copper Complex mines,22.59,86.45,31,#N/A
Hindustan Copper Co. Ltd.,India,Copper,Malanjkhand Copper Complex mines,22.02,80.72,22,#N/A
Hindustan Copper Co. Ltd.,India,Copper,Khetri Copper Complex mines,28.02,75.77,15,#N/A
Sterlite Industries Ltd.,India,Copper: metal,Tuticorin Smelter,8.76,78.17,400,#N/A
Sterlite Industries Ltd.,India,Copper: metal,Silvassa refinery,20.25,73.01,300,#N/A
Hindalco Industries Ltd.,India,Copper: metal,Birla Copper Complex smelter,21.7,72.55,70,#N/A
Hindustan Copper Co. Ltd.,India,Copper: metal,Khetri Copper Complex smelter-refinery,28.02,75.77,45,#N/A
Hindustan Copper Co. Ltd.,India,Copper: metal,Indian Copper Complex smelter-refinery,22.59,86.45,20,#N/A
PT Indonesia Asahan Aluminum,Indonesia,Aluminum,Plant at Kual Tanjun,3.35,99.45,250,#N/A
PT Kaltim Prima Coal Co.,Indonesia,Coal,Mine at East Kutai Regency,-0.58,117.32,36000,#N/A
PT Adaro Indonesia,Indonesia,Coal,Mine at Paringin,-2.33,115.43,35000,#N/A
PT Adaro Indonesia,Indonesia,Coal,Mine at Tutupan,-2.27,115.47,35000,#N/A
PT Arutmin Indonesia,Indonesia,Coal,"Mines at Mulia, Senakin, and Satui, South Kalimantan",-2.97,116.28,20000,#N/A
PT Tambang Batubara Bukit Asam (state-owned),Indonesia,Coal,Mines at Tanjung Enim and Ombilin,-3.75,103.8,19000,#N/A
PT Berau Coal,Indonesia,Coal,Mine at Berau,2.23,117.74,13000,#N/A
PT Kideco Jaya Agung,Indonesia,Coal,Mine at Pasir,-2,116.19,12000,#N/A
PT Freeport Indonesia Co.,Indonesia,Copper: concentrate,Mine at Ertsberg,-4.05,137.12,800,#N/A
PT Freeport Indonesia Co.,Indonesia,Copper: concentrate,Mine at Grasberg,-4.05,137.12,800,#N/A
PT Newmont Nusa Tenggara,Indonesia,Copper: concentrate,Mine at Sumbawa Island,-8.73,118,300,#N/A
PT Smelting Co.,Indonesia,Copper: metal,Plant at Gresik,-7.15,112.66,210,#N/A
PT Antam Tbk,Indonesia,Nickel: ore,"Mine at Pomalaa, South Sulawesi and on Gebe Island",-4.05,121.6,80,#N/A
