Description,country,commodity,fac_name,latitude,longitude,capacity,symbol,Company_Type,Volume,Close,Date
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1321.0,23.93,2021-03-15
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,700.0,23.76,2021-03-12
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1000.0,23.861,2021-03-11
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,3400.0,23.565,2021-03-10
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,29.0,23.32,2021-03-09
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1000.0,23.32,2021-03-08
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1600.0,23.181,2021-03-05
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,3252.0,23.16,2021-03-04
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1538.0,23.3948,2021-03-03
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,6.0,23.36,2021-03-02
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1464.0,23.38,2021-03-01
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1300.0,22.9,2021-02-26
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1785.0,23.08,2021-02-25
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,187.0,23.5,2021-02-24
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1898.0,23.48,2021-02-23
